Unnamed: 0,season,first_name,last_name,position,origin,originNIL,destination,destinationNIL,transfer_date,rating,stars,eligibility,Total Support_x,Ticket Sales_x,Contributions_x,Conf_x,School_x,Total Support_y,Ticket Sales_y,Contributions_y,Conf_y,School_y,Total Support,Ticket Sales,Contributions,Conf,School
97,2021,Karch,Gardiner,WR,Arkansas,"$11,544,039",none, none ,2021-06-01T00:00:00.000Z,,2,Immediate,"70,239,900","48,073,959","22,165,941",SEC,Arkansas,"70,239,900","48,073,959","22,165,941",SEC,Arkansas,,,,,
98,2021,Isaiah,Bowser,RB,Northwestern,,UCF, CHECK FOR NAME ,2021-06-01T00:00:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
99,2021,Prince,Sammons,OT,Auburn,"$11,588,953",none, none ,2021-06-01T00:00:00.000Z,,4,Immediate,"70,513,179","34,140,396","36,372,783",SEC,Auburn,"70,513,179","34,140,396","36,372,783",SEC,Auburn,,,,,
100,2021,Ryan,Glover,QB,Pennsylvania,,Western Carolina, CHECK FOR NAME ,2020-11-23T00:00:00.000Z,,3,TBD,,,,,,,,,,,,,,,
101,2021,Terence,Dunlap,RB,Troy,"$386,184",Southern, CHECK FOR NAME ,2021-05-31T00:00:00.000Z,,2,Immediate,"2,349,746","778,536","1,571,210",Sun Belt,Troy,"2,349,746","778,536","1,571,210",Sun Belt,Troy,,,,,
102,2021,Tijaun,Mason,EDGE,Rutgers,"$3,624,816",none, none ,2021-05-31T00:00:00.000Z,,3,Immediate,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers,,,,,
103,2021,Kenney,Solomon,WR,Tennessee,"$11,602,164",Tulsa, CHECK FOR NAME ,2021-05-30T00:00:00.000Z,,3,Immediate,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,,,,American,Tulsa
104,2021,Shawn,Steele,S,Arkansas-Pine Bluff,,South Alabama, CHECK FOR NAME ,2021-05-28T10:13:00.000Z,,0,Immediate,,,,,,,,,,,"2,916,110","1,176,270","1,739,840",Sun Belt,South Alabama
105,2021,Broc,Thompson,WR,Marshall,"$1,462,900",Purdue, CHECK FOR NAME ,2021-05-28T00:00:00.000Z,,2,Immediate,"8,901,037","2,946,763","5,954,274",Sun Belt,Marshall,"8,901,037","2,946,763","5,954,274",Sun Belt,Marshall,"33,529,207","16,617,614","16,911,593",Big Ten,Purdue
106,2021,Keyshawn,Greene,LB,Nebraska,"$7,973,918",Florida Atlantic, CHECK FOR NAME ,2020-09-04T00:00:00.000Z,,4,TBD,"48,517,435","38,946,701","9,570,734",Big Ten,Nebraska,"48,517,435","38,946,701","9,570,734",Big Ten,Nebraska,"7,960,674","1,112,409","6,848,265",American,Florida Atlantic
107,2021,Chad,Brown,S,UCF,,Nevada, CHECK FOR NAME ,2021-05-27T00:00:00.000Z,,3,Immediate,,,,,,,,,,,"12,172,431","7,325,678","4,846,753",MW,Nevada
108,2021,Brian,Merritt,DL,Houston,"$2,098,333",none, none ,2021-05-27T00:00:00.000Z,,3,Immediate,"12,767,342","5,191,579","7,575,763",Big 12,Houston,"12,767,342","5,191,579","7,575,763",Big 12,Houston,,,,,
109,2021,Damon,Matthews,CB,Arizona State,"$5,689,877",none, none ,2021-05-27T00:00:00.000Z,,0,Immediate,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,,,,,
