Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
109,2021.0,Damon,Matthews,CB,Arizona State,62.0,25.0,25.0,5689877,none,,,,none,2021-05-27T00:00:00.000Z,,0.0,Immediate
110,2021.0,Shan,Sachdeva,EDGE,New Mexico,25.0,17.0,33.0,1776472,none,,,,none,2021-05-27T00:00:00.000Z,,2.0,Immediate
111,2021.0,Gerrik,Vollmer,OT,Virginia,50.0,30.0,25.0,12780300,none,,,,none,2021-05-27T00:00:00.000Z,,3.0,Immediate
112,2021.0,Ridge,Texada,CB,McNeese,,,,No Data,North Texas,46.0,50.0,42.0,607493,2021-05-26T00:00:00.000Z,,2.0,Immediate
113,2021.0,Levi,Forrest,P,Penn State,54.0,85.0,77.0,13793489,none,,,,none,2021-05-26T00:00:00.000Z,,2.0,TBD
114,2021.0,John,Mitchell,DL,Akron,17.0,17.0,17.0,1471894,none,,,,none,2021-05-26T00:00:00.000Z,,2.0,TBD
115,2021.0,Nick,Malito,WR,Louisville,46.0,62.0,71.0,9443439,none,,,,none,2021-05-26T00:00:00.000Z,,3.0,Immediate
116,2021.0,Evan,Bennett,DL,Oregon State,54.0,77.0,62.0,3163423,Fresno State,77.0,71.0,69.0,2102800,2021-05-26T00:00:00.000Z,,3.0,Immediate
117,2021.0,Artie,Henry III,WR,Marshall,54.0,69.0,46.0,1462900,Virginia,50.0,30.0,25.0,12780300,2021-05-26T00:00:00.000Z,,3.0,TBD
118,2021.0,Dante,Johnson,DL,NC State,75.0,62.0,69.0,5935429,Eastern Kentucky,,,,No Data,2021-05-26T00:00:00.000Z,,3.0,TBD
119,2021.0,Theo,Day,QB,Michigan State,85.0,42.0,33.0,13035471,Northern Iowa,,,,No Data,2021-05-25T00:00:00.000Z,,3.0,Immediate
120,2021.0,Kaylon,Geiger,WR,Troy,42.0,86.0,79.0,386184,Texas Tech,54.0,62.0,54.0,6986182,2021-05-25T00:00:00.000Z,,2.0,TBD
121,2021.0,Ja'Chai,Baker,OT,Southeast Missouri State,,,,No Data,South Alabama,42.0,77.0,54.0,479267,2021-05-25T00:00:00.000Z,,0.0,TBD
122,2021.0,Christian,Gelov,QB,TCU,42.0,87.0,42.0,11377377,Purdue,69.0,56.99999999999999,33.0,5510579,2021-05-25T00:00:00.000Z,,0.0,TBD
123,2021.0,Abner,Dubar,S,Minnesota,69.0,69.0,46.0,7171424,none,,,,none,2021-05-25T00:00:00.000Z,,3.0,Immediate
124,2021.0,Elijah,Culp,CB,Austin Peay,,,,No Data,Troy,42.0,86.0,79.0,386184,2021-05-24T00:00:00.000Z,,0.0,Immediate
125,2021.0,Zach,Gulley,S,Louisiana Monroe,,33.0,17.0,0,none,,,,none,2021-05-24T00:00:00.000Z,,3.0,TBD
126,2021.0,Brad,Kemayou,CB,Kent State,50.0,42.0,8.0,160201,none,,,,none,2021-05-24T00:00:00.000Z,,3.0,TBD
127,2021.0,Lolani,Langi,LB,Washington State,54.0,54.0,42.0,3216991,none,,,,none,2021-05-24T00:00:00.000Z,,3.0,TBD
128,2021.0,Jay,Wilkerson,WR,Washington State,54.0,54.0,42.0,3216991,none,,,,none,2021-05-24T00:00:00.000Z,,3.0,TBD
129,2021.0,Liam,Dick,OT,Pittsburgh,79.0,69.0,25.0,No Data,Texas State,33.0,33.0,62.0,599058,2021-05-24T00:00:00.000Z,,3.0,TBD
130,2021.0,Bryce,Sebastian,CB,Boston College,50.0,25.0,54.0,10946275,none,,,,none,2021-05-24T00:00:00.000Z,,3.0,TBD
131,2021.0,Christian,Henderson,OT,Louisiana Tech,25.0,25.0,25.0,623589,none,,,,none,2021-05-24T00:00:00.000Z,,3.0,TBD
132,2021.0,Jarvis,Ware,CB,Missouri,46.0,46.0,85.0,7146859,UCF,69.0,64.0,46.0,3308993,2021-05-24T00:00:00.000Z,,3.0,Immediate
133,2021.0,Bryce,Bramscher,TE,Oregon State,54.0,77.0,62.0,3163423,none,,,,none,2021-05-24T00:00:00.000Z,,0.0,TBD
134,2021.0,Tyrone,Hill Jr.,CB,Buffalo,33.0,54.0,25.0,348600,Washington State,54.0,54.0,42.0,3216991,2021-05-24T00:00:00.000Z,,3.0,Immediate
135,2021.0,Caden,McCormack,LB,Nebraska,25.0,33.0,42.0,7973918,none,,,,none,2021-05-22T00:00:00.000Z,,0.0,TBD
136,2021.0,Justin,Beadles,EDGE,Virginia Tech,46.0,27.0,54.0,7732903,Houston,86.0,62.0,33.0,2098333,2021-05-21T00:00:00.000Z,,3.0,TBD
137,2021.0,Paul,Woods,WR,Rutgers,38.0,33.0,54.0,3624816,none,,,,none,2021-05-21T00:00:00.000Z,,3.0,TBD
138,2021.0,Jeremiah,Hawkins,WR,California,42.0,33.0,46.0,3932903,Texas State,33.0,33.0,62.0,599058,2020-12-29T00:00:00.000Z,,3.0,TBD
139,2021.0,Darrell,Branch,IOL,Arizona,8.0,42.0,77.0,6414683,Tennessee State,,,,No Data,2021-05-20T00:00:00.000Z,,0.0,TBD
140,2021.0,Chaz,Neal,OT,Florida State,42.0,77.0,93.0,10034191,none,,,,none,2021-05-20T00:00:00.000Z,,3.0,TBD
141,2021.0,John,Bledsoe,QB,Washington State,54.0,54.0,42.0,3216991,San Diego,,,,No Data,2021-05-20T00:00:00.000Z,,2.0,TBD
142,2021.0,Marco,Domio,CB,Auburn,46.0,42.0,46.0,11588953,UCF,69.0,64.0,46.0,3308993,2021-05-19T00:00:00.000Z,,4.0,TBD
143,2021.0,Zac,Welch,IOL,Nevada,62.0,17.0,17.0,2000558,none,,,,none,2021-05-19T00:00:00.000Z,,3.0,TBD
144,2021.0,Steven,Faucheux,DL,Purdue,69.0,56.99999999999999,33.0,5510579,Marshall,54.0,69.0,46.0,1462900,2021-05-19T00:00:00.000Z,,3.0,Immediate
145,2021.0,Ronald,Thompkins,RB,Nebraska,25.0,33.0,42.0,7973918,none,,,,none,2021-05-19T00:00:00.000Z,,3.0,TBD
146,2021.0,Devin,Hightower,LB,Michigan State,85.0,42.0,33.0,13035471,Cincinnati,93.0,69.0,25.0,3984845,2021-05-18T10:32:00.000Z,,3.0,Immediate
